yourlist:M2016041565YVM8RPRK	Entry
ABO	Q70V16
ABO	Q70V22
ABO	Q70V24
ABO	Q70V25
ABO	Q70V26
ABO	Q70V29
ABO	Q70V30
ABO	Q70V31
ABO	Q70V32
ABO	Q70V33
ABO	Q70V35
ABO	Q70V37
ABO	Q70V39
ABO	Q70V41
ABO	Q7LCZ1
ABO	Q7Z535
ABO	Q8N3W8
ABO	Q8NFW0
ABO	Q8WWJ1
ABO	Q8WXY5
ABO	Q8WXY6
ABO	Q8WXY7
ABO	Q8WXY8
ABO	Q8WXY9
ABO	Q8WXZ0
ABO	Q8WXZ1
ABO	Q8WXZ2
ABO	Q8WXZ3
ABO	Q8WXZ4
ABO	Q8WXZ5
ABO	Q8WXZ6
ABO	Q8WXZ7
ABO	Q99477
ABO	Q99478
ABO	Q99479
ABO	Q99480
ABO	Q99481
ABO	Q99482
ABO	Q99483
ABO	Q99486
ABO	Q99488
ABO	Q9BQ97
ABO	Q9C087
ABO	Q9C088
ABO	Q9C089
ABO	Q9C090
ABO	Q9NPA6
ABO	Q9NY02
ABO	Q9UBW4
ABO	Q9UIR1
ABO	Q9UK42
ABO	Q9UMY6
ABO	Q9UMY7
ABO	Q9UMY8
ABO	Q9UP69
ABO	Q9UP70
ABO	Q9UQ62
ABO	Q9UQ63
ABO	Q9UQ64
ABO	Q9UQ65
ABO	Q9UQ66
ABO	Q9UQ67
ABO	T1WHV8
ABO	U5NJV0
ABO	U5NKB0
ABO	U5NNF6
ABO	U5NNJ6
ABO	U5YJY7
ABO	U5YJZ4
ABO	U5YK38
ABO	U5YKX4
ABO	U5YMY3
ABO	U5YN54
ABO	V5USW5
ABO	V5UU28
ABO	V5UUM3
ABO	V5UV59
ABO	V5ZDN8
ABO	V5ZDN9
ABO	V5ZDP0
ABO	V5ZDU5
ABO	V5ZDU6
ABO	V9GWR4
ABO	V9GWR5
ABO	V9GWR6
ABO	V9GWR7
ABO	W0LGR6
ABO	W0LH19
ABO	W6JLF7
ABO	X2GB60
ABO	X2J925
ABO	X5M235
ABR	A0A0D9SGD7
ABR	A0A0G2JQ41
ABR	A0A0G2JQM3
ABR	A0A0G2JQT5
ABR	A0A0G2JRC2
ABR	A0A0G2JRJ1
ABR	A0A0G2JRW2
ABR	A0A0G2JSE0
ABR	B7Z683
ABR	I3L0R7
ABR	I3L1U8
ABR	I3L259
ABR	I3L2C0
ABR	I3L2L3
ABR	I3L2P5
ABR	I3L379
ABR	I3L3W0
ABR	I3L4Y1
ABR	I3NI05
ABR	Q12979
ABRA	Q8N0Z2
ABRACL	Q5SZC9
ABRACL	Q9P1F3
ABT1	A0A024R029
ABT1	Q9ULW3
ABTB1	F2Z3F5
ABTB1	H7C4W8
ABTB1	L8E906
ABTB1	Q969K4
ABTB2	Q8N961
ACAA1	A0A024R2M6
ACAA1	B4DVF4
ACAA1	C9JDE9
ACAA1	F2Z2Q6
ACAA1	F2Z3P7
ACAA1	H0Y4D4
ACAA1	H7C131
ACAA1	P09110
ACAA2	A0A024R269
ACAA2	A0A0B4J2A4
ACAA2	K7EJ68
ACAA2	K7EJB1
ACAA2	K7EME0
ACAA2	K7ER88
ACAA2	P42765
ACACA	A0A087WVR6
ACACA	A0A087WWN5
ACACA	A0A087WYK6
ACACA	A0A087WYS8
ACACA	A0A087X0W4
ACACA	A0A087X126
ACACA	A0A087X2F8
ACACA	A0A0C4DGT1
ACACA	B2ZZ90
ACACA	L8EAV0
ACACA	Q13085
ACACA	Q59FY4
ACACA	Q7Z5W8
ACACB	A0A087WUA1
ACACB	F5H5C3
ACACB	F8W8T8
ACACB	H0YGH5
ACACB	O00763
ACACB	Q4G170
ACACB	S4R3S7
ACAD10	D6RFF6
ACAD10	F8VXK4
ACAD10	F8W0Q4
ACAD10	F8W179
ACAD10	F8W1A9
ACAD10	F8W1I9
ACAD10	Q6JQN1
ACAD11	D6RDI8
ACAD11	F8WEV0
ACAD11	H0Y9C6
ACAD11	Q08AE9
ACAD11	Q709F0
ACAD8	E9PKP9
ACAD8	E9PLS3
ACAD8	Q6ZUS0
ACAD8	Q9UKU7
ACAD9	A0A087WTX1
ACAD9	D6R9Z3
ACAD9	D6RCD8
ACAD9	D6RDK9
ACAD9	D6RGK6
ACAD9	D6RJA8
ACAD9	H0Y8Z9
ACAD9	Q9BUX5
ACAD9	Q9H845
ACAD9	Q9H9W4
ACADL	P28330
ACADM	A0A0S2Z366
ACADM	A0A0S2Z3A5
ACADM	B7Z9I1
ACADM	E9PIX8
ACADM	E9PJM9
ACADM	E9PLN7
ACADM	E9PQA8
ACADM	E9PRX4
ACADM	H0YDT5
ACADM	P11310
ACADM	Q5T4U5
ACADS	D4QEZ8
ACADS	E5KSD5
ACADS	E9PE82
ACADS	P16219
ACADSB	A0A0S2Z374
ACADSB	A0A0S2Z3P9
ACADSB	P45954
ACADVL	A0A077H1I5
ACADVL	B3KPA6
ACADVL	G3V1M7
ACADVL	J3KS89
ACADVL	J3KSR4
ACADVL	J3QKU9
ACADVL	J3QRJ8
ACADVL	J9JID6
ACADVL	K7EJW8
ACADVL	K7EMF8
ACADVL	K7EQP4
ACADVL	P49748
ACAN	A0A087X1T7
ACAN	B9EK55
ACAN	E7ENV9
ACAN	E7EX88
ACAN	H0YK70
ACAN	H0YM81
ACAN	H0YMF1
ACAN	P16112
ACAN	Q6PID9
ACAP1	I3L0K9
ACAP1	I3L268
ACAP1	I3L2Z4
ACAP1	I3L3X6
ACAP1	Q15027
ACAP2	A0A087X1H5
ACAP2	A0A0U1RQT1
ACAP2	C9J8L1
ACAP2	F8WAU0
ACAP2	H7C3K3
ACAP2	H7C3Q8
ACAP2	Q15057
ACAP3	F8W850
ACAP3	Q8N2W2
ACAP3	Q8WTZ1
ACAP3	Q96P50
ACAT1	E9PKF3
ACAT1	E9PRQ6
ACAT1	H0YEL7
ACAT1	P24752
ACAT2	Q9BWD1
ACBD3	A0A024R3P9
ACBD3	Q9H3P7
ACBD4	A0A0S2Z5Q0
ACBD4	A0A0S2Z5W7
ACBD4	A0A0S2Z5Y4
ACBD4	K7EM05
ACBD4	K7EMH4
ACBD4	Q8NC06
ACBD5	A0A087X0B8
ACBD5	B7Z2R7
ACBD5	Q5T8D3
ACBD5	Q5T8E0
ACBD5	X6RDD7
ACBD6	A0A024R915
ACBD6	Q9BR61
ACBD7	Q8N6N7
ACCS	A0A0S2Z5S5
ACCS	A0A0S2Z5Z8
ACCS	A0A0S2Z622
ACCS	E9PRT9
ACCS	E9PS61
ACCS	Q96QU6
ACCSL	E9PI59
ACCSL	Q4AC99
ACD	A0A0C4DGT6
ACD	R4GMR6
ACD	R4GND4
ACD	R4GNJ5
ACE	A0A0A0MSN4
ACE	D3DU13
ACE	I3UJJ7
ACE	I6L9B3
ACE	J3KRH5
ACE	J3KS28
ACE	J3KSQ5
ACE	J3KTB8
ACE	J3KTH9
ACE	J3QLR4
ACE	J3QRX8
ACE	J3QSC7
ACE	P12821
ACE	Q1KSD9
ACE	Q1KSG0
ACE	Q3KRI4
ACE	Q3KRI5
ACE	X4Y8J8
ACE2	Q9BYF1
ACER1	Q8TDN7
ACER2	Q5QJU3
ACER3	B7Z2Q2
ACER3	B7Z2V2
ACER3	E9PIN9
ACER3	E9PKR3
ACER3	E9PL35
ACER3	E9PLZ9
ACER3	E9PR08
ACER3	J3KN85
ACER3	L8E8G3
ACER3	Q9NUN7
ACHE	C9J2S3
ACHE	C9JD78
ACHE	C9JUK5
ACHE	C9JZL6
ACHE	D6W5X8
ACHE	F8WAR7
ACHE	F8WD34
ACHE	F8WD68
ACHE	P22303
ACHE	Q13697
ACHE	Q6TQD3
ACIN1	A0A087WYN3
ACIN1	A0A087X0D2
ACIN1	E7EQT4
ACIN1	G3V3B0
ACIN1	G3V3T3
ACIN1	Q9UKV3
ACIN1	S4R3H4
ACKR1	Q16570
ACKR1	Q5JY94
ACKR2	V9GYB7
ACKR2	V9GYM0
ACKR2	V9GYX0
ACKR2	V9GZ70
ACKR3	P25106
ACKR4	H0Y9Z2
ACKR4	Q9NPB9
ACLY	A0A024R1T9
ACLY	A0A024R1Y2
